Price,BHK,Area_SqFt,Location
29600000.0,3,1009,Kandivali West
7200000.0,2,612,Virar West
49900000.0,3,1125,Mahalakshmi
31800000.0,2,745,Wadala
86900000.0,3,1405,Juhu
41100000.0,3,1170,Goregaon West
61600000.0,3,1202,Bandra East
58700000.0,3,1278,Borivali East
29600000.0,3,1210,Bhandup West
140800000.0,3,1979,Worli
36600000.0,3,836,Vile Parle East
23400000.0,2,646,Bandra East
27900000.0,2,759,Goregaon West
20200000.0,3,822,Kandivali West
18800000.0,2,713,Goregaon West
31900000.0,3,1079,Borivali West
18000000.0,3,979,Mira Road Area
31900000.0,3,1145,Marol
25400000.0,3,919,Borivali West
74300000.0,3,1204,Bandra Kurla Complex
82500000.0,3,1500,Andheri West
31800000.0,2,745,Wadala
53400000.0,3,876,Byculla
35900000.0,2,700,Bandra East
65000000.0,3,1300,Bandra East
15200000.0,2,660,Mulund East
41200000.0,3,1411,Mulund West
43300000.0,3,1140,Andheri West
31900000.0,3,1079,Borivali West
19000000.0,3,1051,Mira Bhayandar Road
40800000.0,3,1045,Mahim
10900000.0,2,836,Vinay Nagar
86900000.0,3,1405,Juhu
75100000.0,3,1106,Dadar West
43500000.0,3,940,Bandra East
59500000.0,3,1290,Lower Parel
24900000.000000004,2,854,Mulund West
9880000.0,2,665,Mira Road East
89300000.0,3,1666,Matunga
21800000.0,3,812,Chembur
33100000.0,3,1123,Mulund West
64300000.0,3,1057,Bandra East
22700000.0,2,735,Borivali West
39000000.0,3,1098,Jogeshwari West
23300000.0,2,869,Nahur East
58500000.0,3,976,Bandra Kurla Complex
43500000.0,3,1398,Malad West
18500000.0,3,1051,Mira Bhayandar Road
140800000.0,3,1979,Worli
38800000.0,3,1294,Kandivali East
31900000.0,3,1120,Borivali East
41100000.0,3,1170,Goregaon West
54500000.0,3,1540,Chandivali
27000000.0,2,672,Parel
100900000.0,3,1469,Tardeo
18800000.0,2,713,Goregaon West
18500000.0,3,1051,Mira Bhayandar Road
39500000.0,3,1149,Kandivali East
33300000.0,3,1170,Borivali East
35900000.0,3,898,Mulund West
59900000.0,3,1180,Mahim
99800000.0,3,1466,Dadar West
17400000.0,2,646,Andheri West
39700000.0,3,900,Andheri West
47500000.0,3,1313,Borivali West
28300000.0,2,851,Vikhroli
18800000.0,3,1274,Mira Road East
56000000.0,3,1221,Matunga West
43800000.0,3,876,Byculla
49200000.0,3,1172,Bandra West
39700000.0,3,1058,Byculla East
29700000.000000004,2,725,Andheri West
82500000.0,3,1500,Andheri West
29500000.0,2,738,Mulund West
23300000.0,2,640,Dadar East
44600000.0,3,876,Byculla
9740000.0,2,750,Mira Bhayandar
28500000.0,3,1216,Dindoshi
69700000.0,3,1191,Byculla
77600000.0,3,1078,Santacruz West
140800000.0,3,1979,Worli
65000000.0,3,1108,Dadar West
5030000.0,2,562,Naigaon East
49000000.0,3,1126,Byculla
18500000.0,3,1051,Mira Bhayandar Road
23400000.0,2,780,Bhandup West
24200000.0,3,848,Chembur
23000000.0,3,906,Mulund East
54000000.0,3,1061,Byculla
24400000.0,3,848,Chembur
15600000.0,2,605,Chembur
41900000.00000001,3,1116,Wadala
28500000.0,3,1120,Kandivali East
19300000.0,2,729,Jogeshwari East
19100000.0,2,772,Borivali East
47100000.0,3,1450,Goregaon East
38500000.0,3,1036,Goregaon West
24700000.000000004,3,858,Andheri East
77300000.0,3,1417,Lower Parel
70100000.0,3,1649,Andheri East
10000000.0,2,481,Bhandup West
64000000.0,3,985,Bandra Kurla Complex
42600000.0,3,1094,Andheri West
87000000.0,3,1378,Mahalakshmi
33300000.0,3,933,Malad West
27599999.999999996,2,758,Chembur
59600000.0,2,1491,Bandra Kurla Complex
40900000.0,3,1339,Mulund West
26000000.0,2,710,Goregaon East
22500000.0,2,635,Powai
46200000.0,2,762,Mahalakshmi
120000000.0,3,1705,3 BHK Flat for Sale in Worli
52500000.0,3,1400,Powai
30000000.0,3,1200,Ghatkopar East
31200000.0,3,1237,Malad East
36500000.0,3,1156,Wadala East
57500000.0,3,1325,Juhu
125000000.0,3,2100,Worli
35000000.0,3,837,3 BHK Flat for Sale in Chembur
75000000.0,2,1000,2 BHK Flat for Sale in Juhu
81000000.0,3,1330,Goregaon East
42800000.0,3,1142,Santacruz East
27000000.0,2,673,Wadala East
31100000.0,2,915,Andheri West
13799999.999999998,2,500,Andheri East
22000000.0,2,698,Goregaon West
32000000.0,2,932,Goregaon West
47500000.0,3,1214,Kandivali East
40000000.0,3,1045,Powai
12200000.0,2,470,Kanjurmarg West
43500000.0,2,875,2 BHK Flat for Sale in Juhu
16000000.0,2,640,Goregaon West
16000000.0,2,640,2 BHK Flat for Sale in Kurla East
42500000.0,2,800,2 BHK Flat for Sale in Vile Parle East
28000000.0,2,715,Powai
125000000.0,3,1701,Worli
45000000.0,3,1250,Goregaon East
19900000.0,2,650,Santacruz East
38000000.0,3,1108,3 BHK Flat for Sale in Chembur
112500000.0,3,2191,Lower Parel West
31800000.0,3,938,Chembur
36500000.0,3,1163,3 BHK Flat for Sale in Chembur
14500000.0,2,589,Ghatkopar East
21500000.0,2,769,Kandivali East
9600000.0,2,636,Mira Road East
72500000.0,3,1200,Bandra West
8970000.0,2,650,2 BHK Flat for Sale in Mira Road East
26000000.0,2,689,Wadala
60000000.0,3,1600,Andheri West
64000000.0,3,1390,Powai
19000000.0,2,525,Andheri West
28000000.0,2,680,Bandra East
85500000.0,3,1405,Juhu
19900000.0,2,727,Chembur
50000000.0,3,881,Vikhroli East
18500000.0,2,644,Kandivali East
62500000.0,3,1150,Andheri West
32500000.0,3,846,Kandivali East
78000000.0,3,1711,Chembur
28900000.0,3,983,Kanjurmarg West
52500000.0,3,920,Byculla
38600000.0,3,1430,Malad East
10000000.0,2,712,Mira Road East
47900000.0,3,997,3 BHK Flat for Sale in Vile Parle East
51000000.0,3,1100,Vikhroli East
8570000.0,2,645,Virar
46100000.0,3,1122,Andheri East
32500000.0,3,966,Mulund West
33900000.0,2,762,Powai
29000000.0,2,750,Andheri East
38000000.0,3,1110,Ghatkopar East
61500000.0,3,1410,Powai
82000000.0,3,1800,Mahalakshmi
95000000.0,3,1375,Worli
43000000.0,3,1163,3 BHK Flat for Sale in Powai
81000000.0,3,1348,Worli
50000000.0,3,1100,Andheri West
16200000.000000002,2,584,Kandivali West
62500000.0,3,1400,Powai
82500000.0,3,1150,Worli
79000000.0,3,1390,Worli
37500000.0,3,1121,Kandivali East
73900000.0,3,1136,3 BHK Flat for Sale in Worli
19900000.0,2,727,Chembur
45000000.0,3,1250,Andheri West
35800000.0,3,1060,Ghatkopar East
27500000.0,3,980,Chandivali
17800000.0,2,746,Andheri West
38500000.0,3,1157,3 BHK Flat for Sale in Ghatkopar East
23500000.0,2,714,Goregaon West
9550000.0,2,668,Mira Road East
15200000.0,2,609,2 BHK Flat for Sale in Borivali West
21000000.0,2,725,2 BHK Flat for Sale in Chembur
24500000.0,2,770,2 BHK Flat for Sale in Santacruz East
11200000.000000002,2,590,Kandivali East
24500000.0,2,710,Powai
22000000.0,2,765,Goregaon East
22000000.0,2,667,Powai
68000000.0,3,1351,3 BHK Flat for Sale in Juhu
27000000.0,2,850,Goregaon East
82100000.00000001,3,1330,Goregaon East
46600000.0,3,1040,3 BHK Flat for Sale in Vile Parle East
38000000.0,2,777,Powai
43500000.0,3,1253,Powai
36000000.0,3,981,3 BHK Flat for Sale in Powai
24000000.0,2,850,Andheri West
14400000.0,2,548,2 BHK Flat for Sale in Goregaon West
25000000.0,2,680,Kandivali East
19500000.0,2,631,Kandivali East
18500000.0,2,732,Kandivali East
19200000.0,2,702,Mulund West
19100000.0,2,796,Bhandup West
79300000.0,3,1484,Lower Parel
17000000.0,2,691,2 BHK Flat for Sale in Ghatkopar East
78000000.0,3,1330,Goregaon East
55000000.0,3,1127,Mahim
31000000.0,3,1022,Mulund West
46500000.0,3,1200,3 BHK Flat for Sale in Mumbai
29600000.0,3,970,3 BHK Flat for Sale in Mulund West
36500000.0,3,1100,Goregaon East
50599999.99999999,3,1126,Andheri West
25000000.0,2,855,Moti Nagar
46500000.0,3,1100,Andheri West
59500000.0,3,1217,3 BHK Flat for Sale in Vile Parle West
