Price,BHK,Area_SqFt,Location
₹2.96 Cr,3 BHK,1009 sqft,Kandivali West
₹72 Lac,2 BHK,612 sqft,Virar West
₹4.99 Cr,3 BHK,1125 sqft,Mahalakshmi
₹3.18 Cr,2 BHK,745 sqft,Wadala
₹8.69 Cr,3 BHK,1405 sqft,Juhu
₹4.11 Cr,3 BHK,1170 sqft,Goregaon West
₹6.16 Cr,3 BHK,1202 sqft,Bandra East
₹5.87 Cr,3 BHK,1278 sqft,Borivali East
₹2.96 Cr,3 BHK,1210 sqft,Bhandup West
₹14.08 Cr,3 BHK,1979 sqft,Worli
₹3.66 Cr,3 BHK,836 sqft,Vile Parle East
₹2.34 Cr,2 BHK,646 sqft,Bandra East
₹2.79 Cr,2 BHK,759 sqft,Goregaon West
₹2.02 Cr,3 BHK,822 sqft,Kandivali West
₹1.88 Cr,2 BHK,713 sqft,Goregaon West
₹3.19 Cr,3 BHK,1079 sqft,Borivali West
₹1.80 Cr,3 BHK,979 sqft,Mira Road Area
₹3.19 Cr,3 BHK,1145 sqft,Marol
₹2.54 Cr,3 BHK,919 sqft,Borivali West
₹7.43 Cr,3 BHK,1204 sqft,Bandra Kurla Complex
₹8.25 Cr,3 BHK,1500 sqft,Andheri West
₹3.18 Cr,2 BHK,745 sqft,Wadala
₹5.34 Cr,3 BHK,876 sqft,Byculla
₹3.59 Cr,2 BHK,700 sqft,Bandra East
₹6.50 Cr,3 BHK,1300 sqft,Bandra East
₹1.52 Cr,2 BHK,660 sqft,Mulund East
₹4.12 Cr,3 BHK,1411 sqft,Mulund West
₹4.33 Cr,3 BHK,1140 sqft,Andheri West
₹3.19 Cr,3 BHK,1079 sqft,Borivali West
₹1.90 Cr,3 BHK,1051 sqft,Mira Bhayandar Road
₹4.08 Cr,3 BHK,1045 sqft,Mahim
₹1.09 Cr,2 BHK,836 sqft,Vinay Nagar
₹8.69 Cr,3 BHK,1405 sqft,Juhu
₹7.51 Cr,3 BHK,1106 sqft,Dadar West
₹4.35 Cr,3 BHK,940 sqft,Bandra East
₹5.95 Cr,3 BHK,1290 sqft,Lower Parel
₹2.49 Cr,2 BHK,854 sqft,Mulund West
₹98.8 Lac,2 BHK,665 sqft,Mira Road East
₹8.93 Cr,3 BHK,1666 sqft,Matunga
₹2.18 Cr,3 BHK,812 sqft,Chembur
₹3.31 Cr,3 BHK,1123 sqft,Mulund West
₹6.43 Cr,3 BHK,1057 sqft,Bandra East
₹2.27 Cr,2 BHK,735 sqft,Borivali West
₹3.90 Cr,3 BHK,1098 sqft,Jogeshwari West
₹2.33 Cr,2 BHK,869 sqft,Nahur East
₹5.85 Cr,3 BHK,976 sqft,Bandra Kurla Complex
₹4.35 Cr,3 BHK,1398 sqft,Malad West
₹1.85 Cr,3 BHK,1051 sqft,Mira Bhayandar Road
₹14.08 Cr,3 BHK,1979 sqft,Worli
₹3.88 Cr,3 BHK,1294 sqft,Kandivali East
₹3.19 Cr,3 BHK,1120 sqft,Borivali East
₹4.11 Cr,3 BHK,1170 sqft,Goregaon West
₹5.45 Cr,3 BHK,1540 sqft,Chandivali
₹2.70 Cr,2 BHK,672 sqft,Parel
₹10.09 Cr,3 BHK,1469 sqft,Tardeo
₹1.88 Cr,2 BHK,713 sqft,Goregaon West
₹1.85 Cr,3 BHK,1051 sqft,Mira Bhayandar Road
₹3.95 Cr,3 BHK,1149 sqft,Kandivali East
₹3.33 Cr,3 BHK,1170 sqft,Borivali East
₹3.59 Cr,3 BHK,898 sqft,Mulund West
₹5.99 Cr,3 BHK,1180 sqft,Mahim
₹9.98 Cr,3 BHK,1466 sqft,Dadar West
₹1.74 Cr,2 BHK,646 sqft,Andheri West
₹3.97 Cr,3 BHK,900 sqft,Andheri West
₹4.75 Cr,3 BHK,1313 sqft,Borivali West
₹2.83 Cr,2 BHK,851 sqft,Vikhroli
₹1.88 Cr,3 BHK,1274 sqft,Mira Road East
₹5.60 Cr,3 BHK,1221 sqft,Matunga West
₹4.38 Cr,3 BHK,876 sqft,Byculla
₹4.92 Cr,3 BHK,1172 sqft,Bandra West
₹3.97 Cr,3 BHK,1058 sqft,Byculla East
₹2.97 Cr,2 BHK,725 sqft,Andheri West
₹8.25 Cr,3 BHK,1500 sqft,Andheri West
₹2.95 Cr,2 BHK,738 sqft,Mulund West
₹2.33 Cr,2 BHK,640 sqft,Dadar East
₹4.46 Cr,3 BHK,876 sqft,Byculla
₹97.4 Lac,2 BHK,750 sqft,Mira Bhayandar
₹2.85 Cr,3 BHK,1216 sqft,Dindoshi
₹6.97 Cr,3 BHK,1191 sqft,Byculla
₹7.76 Cr,3 BHK,1078 sqft,Santacruz West
₹14.08 Cr,3 BHK,1979 sqft,Worli
₹6.50 Cr,3 BHK,1108 sqft,Dadar West
₹50.3 Lac,2 BHK,562 sqft,Naigaon East
₹4.90 Cr,3 BHK,1126 sqft,Byculla
₹1.85 Cr,3 BHK,1051 sqft,Mira Bhayandar Road
₹2.34 Cr,2 BHK,780 sqft,Bhandup West
₹2.42 Cr,3 BHK,848 sqft,Chembur
₹2.30 Cr,3 BHK,906 sqft,Mulund East
₹5.40 Cr,3 BHK,1061 sqft,Byculla
₹2.44 Cr,3 BHK,848 sqft,Chembur
