Location,Avg_Price_per_SqFt
3 BHK Flat for Sale in Worli,67717.02
3 BHK Flat for Sale in Dr Baba Saheb Ambedkar Road,67525.77
Worli,67258.77
Mahalakshmi,66563.67
3 BHK Flat for Sale in Juhu,65707.08
Dadar West,65239.5
Santacruz West,63770.36
2 BHK Flat for Sale in Juhu,62357.14
Tardeo,61723.04
Juhu,60995.68
Nehru Nagar Lower Parel West,59936.91
2 BHK Flat for Sale in Willingdon,59133.96
Prabhadevi,58913.15
Worli Sea Face,58030.48
Ratan Nagar Four Bungalows,58000.0
Nana Chowk Area,57500.0
2 BHK Flat for Sale in Matunga East,56716.42
Bandra Kurla Complex,56649.32
Naigaon Dadar East,54411.76
Matunga,53601.44
2 BHK Flat for Sale in Vile Parle East,53125.0
Byculla,52021.41
2 BHK Flat for Sale in New Sarvottam Society,52000.0
Lower Parel West,51346.42
Bandra West,51198.1
Matunga West,49448.16
Lower Parel,49016.86
3 BHK Flat for Sale in Vile Parle West,48890.71
Yashodham,48872.18
Bandra,48806.94
Hiranandani Gardens,47640.25
Upper Worli,47516.2
Khar West,47119.96
Kanchpada,47043.01
2 BHK Flat for Sale in Dadar West,47000.0
Kala Nagar,46995.19
Bandra East,46972.38
2 BHK Flat for Sale in Parel,46954.31
2 BHK Flat for Sale in DN Nagar,46428.57
3 BHK Flat for Sale in Vile Parle East,46425.91
Mahim,45956.32
Four Bungalows,45854.92
2 BHK Flat for Sale in Matunga West,44964.03
2 BHK Flat for Sale in Wadala West,43333.33
Sewri,42857.14
Nirmal Nagar Bandra East,42857.14
Grant Road,42452.83
Dadar East,42215.93
Lokhandwala Complex Andheri West,41375.38
Sion East,40972.22
2 BHK Flat for Sale in Mahim West,40714.29
Andheri West,40447.75
Veera Desai Industrial Estate,39612.8
Vikhroli East,38921.61
2 BHK Flat for Sale in Vakola,38820.12
Wadala,38786.96
Powai,38771.29
3 BHK Flat for Sale in Mumbai,38750.0
Goregaon East,38459.72
Sion,38410.1
Sion West,38315.63
2 BHK Flat for Sale in Kapad Bazar,37715.52
Laxmi Nagar Goregaon West,37320.57
3 BHK Flat for Sale in Everard Nagar,37160.12
Tunga Village,37081.6
3 BHK Flat for Sale in Naigaon Dadar East,36956.52
3 BHK Flat for Sale in Powai,36835.3
Vile Parle East,36601.19
2 BHK Flat for Sale in Garodia Nagar,36000.0
3 BHK Flat for Sale in Chembur,35832.13
Rajendra Nagar,35442.82
Parel,35351.19
Byculla East,35300.27
Vikhroli West,35158.36
Shankar Lane,34942.82
2 BHK Flat for Sale in Malad West,34564.64
Siddharth Nagar Goregaon West,34545.45
CGS Colony Antop Hill,34545.45
2 BHK Flat for Sale in LIC Colony Borivali West,34461.54
Santacruz East,34046.75
Veera Desai Road,33802.82
Chandivali,33515.59
3 BHK Flat for Sale in Ghatkopar East,33275.71
